split,galaxy,cut_category,threshold,patches,positive_patches,negative_patches,patch_tp,patch_fp,patch_fn,patch_tn,pixel_tp,pixel_fp,pixel_fn,patch_precision,patch_recall,patch_f1,pixel_precision,pixel_recall,pixel_f1
test,ngc_3184,centered_positive__galaxy_minor,0.05,80,80,0,80,0,0,0,8694,21710,1272,1.0,1.0,1.0,0.28594921720826205,0.872366044551475,0.43071587812732226
test,ngc_3184,centered_positive__galaxy_minor,0.075,80,80,0,80,0,0,0,8650,21016,1316,1.0,1.0,1.0,0.2915795860581137,0.8679510335139474,0.4365159467097295
test,ngc_3184,centered_positive__shell_major,0.05,80,80,0,80,0,0,0,10264,21774,1218,1.0,1.0,1.0,0.32036956114613896,0.8939209197004007,0.4716911764705883
test,ngc_3184,centered_positive__shell_major,0.075,80,80,0,80,0,0,0,10226,21018,1256,1.0,1.0,1.0,0.327294840609397,0.8906113917435987,0.4786780882834808
test,ngc_3184,centered_positive__shell_minor,0.05,80,80,0,80,0,0,0,7472,21948,1202,1.0,1.0,1.0,0.2539768864717879,0.8614249481208208,0.3922927495143592
test,ngc_3184,centered_positive__shell_minor,0.075,80,80,0,80,0,0,0,7422,21252,1252,1.0,1.0,1.0,0.2588407616656204,0.8556605948812543,0.3974510013923101
test,ngc_3184,fine_grid_deployment_like,0.05,190,10,180,10,36,0,144,284,6804,692,0.21739130434782608,1.0,0.3571428571428571,0.040067720090293454,0.29098360655737704,0.07043650793650794
test,ngc_3184,fine_grid_deployment_like,0.075,190,10,180,10,36,0,144,276,6534,700,0.21739130434782608,1.0,0.3571428571428571,0.04052863436123348,0.2827868852459016,0.0708964808630876
test,ngc_3184,random_nearby_grazing,0.05,160,160,0,160,0,0,0,10208,45126,1864,1.0,1.0,1.0,0.1844797050637944,0.8455931080185554,0.3028810491647628
test,ngc_3184,random_nearby_grazing,0.075,160,160,0,160,0,0,0,10144,43598,1928,1.0,1.0,1.0,0.18875367496557627,0.8402915838303512,0.3082626796730179
test,ngc_3184,spatial_offset_16pix__shell_major,0.05,160,66,94,66,94,0,0,3988,41474,1984,0.4125,1.0,0.5840707964601769,0.08772161365536052,0.667782987273945,0.15507252012287592
test,ngc_3184,spatial_offset_16pix__shell_major,0.075,160,66,94,66,94,0,0,3934,39938,2038,0.4125,1.0,0.5840707964601769,0.08966994894237783,0.65874079035499,0.15785249979937405
test,ngc_3184,spatial_offset_16pix__shell_minor,0.05,160,54,106,54,104,0,2,3872,38134,1186,0.34177215189873417,1.0,0.5094339622641509,0.09217730800361854,0.7655199683669435,0.164541900390957
test,ngc_3184,spatial_offset_16pix__shell_minor,0.075,160,54,106,54,104,0,2,3850,36662,1208,0.34177215189873417,1.0,0.5094339622641509,0.09503357030015798,0.7611704230921312,0.16897081413210446
test,ngc_3184,spatial_offset_4pix__shell_major,0.05,160,112,48,112,48,0,0,9348,45260,1572,0.7,1.0,0.8235294117647058,0.1711837093466159,0.856043956043956,0.28531314857770723
test,ngc_3184,spatial_offset_4pix__shell_major,0.075,160,112,48,112,48,0,0,9302,43784,1618,0.7,1.0,0.8235294117647058,0.1752251064310741,0.8518315018315018,0.29066025060150613
test,ngc_3184,spatial_offset_4pix__shell_minor,0.05,160,152,8,152,8,0,0,10432,41860,2158,0.95,1.0,0.9743589743589743,0.19949514266044518,0.8285941223193011,0.32156838568478163
test,ngc_3184,spatial_offset_4pix__shell_minor,0.075,160,152,8,152,8,0,0,10374,40314,2216,0.95,1.0,0.9743589743589743,0.20466382575757575,0.8239872915011914,0.32788646923101233
test,ngc_3184,spatial_offset_8pix__shell_major,0.05,160,50,110,50,110,0,0,2424,41800,782,0.3125,1.0,0.47619047619047616,0.054811866859623734,0.7560823456019963,0.10221378874130298
